| idx | angle (deg) | strain   | atoms | surf_ratio |  idx1  |  idx2  |
| 231 |    21.7810 | 0.068332 |   124 |  32/30  |   6, -8 |   7, -4 |
| 232 |    21.7820 | 0.069444 |    16 |   4/4   |   1, -2 |   3,-10 |
| 233 |    21.7800 | 0.070084 |   126 |  36/27  |   4,-10 |   6, -6 |
| 234 |    21.7830 | 0.070420 |    82 |  19/22  |   1, -9 |  -1,-10 |
| 235 |    21.7840 | 0.071626 |    56 |  14/14  |   6, -7 |   4, -7 |
| 236 |    21.7830 | 0.072681 |   120 |  34/26  |   5, -8 |   2,-10 |
| 237 |    21.7800 | 0.073859 |   104 |  30/22  |   6, -6 |   3, -8 |
| 238 |    21.7840 | 0.075079 |   102 |  29/22  |   7, -5 |   4, -7 |
| 239 |    21.7830 | 0.076032 |    90 |  21/24  |   3, -9 |   1,-10 |
| 240 |    21.7830 | 0.076715 |   102 |  23/28  |   5, -9 |   3,-10 |
| 241 |    21.7870 | 0.078161 |    92 |  26/20  |   6, -8 |   7, -5 |
| 242 |    21.7810 | 0.079132 |    90 |  25/20  |   6, -7 |   7, -4 |
| 243 |    21.7810 | 0.079756 |    46 |  12/11  |   7, -5 |   6, -6 |
| 244 |    21.7830 | 0.079958 |    62 |  14/17  |   0, -7 |   2,-10 |
| 245 |    21.7820 | 0.080308 |    22 |   5/6   |   1, -2 |   2, -9 |
| 246 |    21.7810 | 0.080380 |    52 |  12/14  |   5, -3 |   6, -6 |
| 247 |    21.7820 | 0.081662 |    32 |   9/7   |   5, -3 |   8, -3 |
| 248 |    21.7820 | 0.082282 |   124 |  30/32  |   3,-10 |   0,-10 |
| 249 |    21.7830 | 0.082479 |    76 |  20/18  |   2, -9 |   0,-10 |
| 250 |    21.7830 | 0.084769 |    96 |  22/26  |   6, -8 |   4, -9 |
| 251 |    21.7830 | 0.086018 |   182 |  41/50  |   5, -9 |   1,-10 |
| 252 |    21.7810 | 0.086836 |    42 |  11/10  |   6, -5 |   7, -4 |
| 253 |    21.7830 | 0.087130 |    76 |  21/17  |   5, -8 |   3, -9 |
| 254 |    21.7820 | 0.089347 |    86 |  19/24  |   3,-10 |   4, -7 |
| 255 |    21.7830 | 0.090921 |    18 |   5/4   |  -1, -5 |  -1,-10 |
| 256 |    21.7820 | 0.092531 |    80 |  22/18  |   4,-10 |   5, -7 |
